"date","variety","price"
"2020-6-16","菠菜","6.4"
"2020-6-16","木耳","6.5"
"2020-6-16","大蒜","4.4"
"2020-6-16","小白菜","2.1"
"2020-6-16","西瓜","2.9"
"2020-6-16","豇豆","4.1"
"2020-6-16","条形辣椒干（小米椒）","8.4"
"2020-6-16","芋头","5.1"
"2020-6-16","生菜","3.6"
"2020-6-16","南瓜","1.3"
"2020-6-16","丝瓜","3.3"
"2020-6-16","西葫芦","2.7"
"2020-6-16","大白菜","1.4"
"2020-6-16","茭白","6.3"
"2020-6-16","茄子","2.2"
"2020-6-16","莴笋","2.1"
"2020-6-16","韭菜","4.3"
"2020-6-16","香菇","10.9"
"2020-6-16","土豆","1.9"
"2020-6-16","青椒","2.5"
"2020-6-16","山药","4.4"
"2020-6-16","生姜","13.1"
"2020-6-16","油菜","2.7"
"2020-6-16","平菇","6.1"
"2020-6-18","莲藕","11.5"
"2020-6-18","菠菜","6.5"
"2020-6-18","葱头","1.9"
"2020-6-18","韭菜","4.3"
"2020-6-18","洋白菜","1.4"
"2020-6-18","木耳","6.7"
"2020-6-18","平菇","6.2"
"2020-6-18","黄瓜","2.3"
"2020-6-18","大葱","2.7"
"2020-6-18","油菜","2.7"
"2020-6-18","西瓜","2.9"
"2020-6-18","苦瓜","3.3"
"2020-6-18","丝瓜","3.3"
"2020-6-18","茄子","2.2"
"2020-6-18","莴笋","2.2"
"2020-6-18","大蒜","4.3"
"2020-6-18","山药","4.4"
"2020-6-17","油菜","2.7"
"2020-6-17","韭菜","4.5"
"2020-6-17","大白菜","1.4"
"2020-6-17","小白菜","2.4"
"2020-6-17","生菜","3.6"
"2020-6-17","洋白菜","1.4"
"2020-6-17","菠菜","6.6"
"2020-6-16","苦瓜","3.3"
"2020-6-22","生菜","3.6"
"2020-6-19","大白菜","1.4"
"2020-6-18","西红柿","2.8"
"2020-6-18","菜花","4.7"
"2020-6-18","土豆","1.9"
"2020-6-18","红萝卜","3"
"2020-6-18","西葫芦","2.8"
"2020-6-18","生姜","13.3"
"2020-6-18","胡萝卜","3.8"
"2020-6-18","小白菜","2.1"
"2020-6-18","香菇","11.5"
"2020-6-18","豇豆","3.6"
"2020-6-18","条形辣椒干（小米椒）","8.5"
"2020-6-18","茭白","6.2"
"2020-6-18","冬瓜","1.4"
"2020-6-18","大白菜","1.4"
"2020-6-18","芹菜","4.1"
"2020-6-18","豆角","3.9"
"2020-6-18","芋头","5.1"
"2020-6-18","生菜","3.5"
"2020-6-18","西兰花","9.7"
"2020-6-18","蒜薹","5.5"
"2020-6-18","白萝卜","1.1"
"2020-6-18","南瓜","1.4"
"2020-6-18","青椒","2.7"
"2020-6-22","南瓜","1.5"
"2020-6-22","条形辣椒干（小米椒）","10"
"2020-6-22","西葫芦","2.9"
"2020-6-22","蒜薹","6"
"2020-6-22","茄子","2.2"
"2020-6-22","菜花","5.1"
"2020-6-22","黄瓜","2.3"
"2020-6-22","西兰花","9.8"
"2020-6-22","红萝卜","3.2"
"2020-6-22","生姜","12.7"
"2020-6-22","韭菜","4.9"
"2020-6-22","菠菜","6.2"
"2020-6-22","青椒","3.1"
"2020-6-22","大蒜","4.4"
"2020-6-22","冬瓜","1.3"
"2020-6-22","苦瓜","3.6"
"2020-6-22","大葱","3.2"
"2020-6-22","白萝卜","0.9"
"2020-6-22","小白菜","2.6"
"2020-6-22","油菜","2.7"
"2020-6-22","豇豆","5"
"2020-6-22","莴笋","2.6"
"2020-6-22","土豆","2"
"2020-6-22","胡萝卜","3.9"
"2020-6-22","丝瓜","3.8"
"2020-6-23","西葫芦","3.1"
"2020-6-23","菜花","5.2"
"2020-6-23","莲藕","11.9"
"2020-6-23","土豆","2"
"2020-6-23","豆角","4.2"
"2020-6-23","芋头","5.3"
"2020-6-23","丝瓜","4"
"2020-6-23","茄子","2"
"2020-6-23","白萝卜","1"
"2020-6-23","西瓜","2.4"
"2020-6-23","红萝卜","3.3"
"2020-6-22","香菇","12.2"
"2020-6-22","豆角","4"
"2020-6-22","西红柿","2.8"
"2020-6-22","芹菜","3.9"
"2020-6-22","葱头","1.4"
"2020-6-22","西瓜","2.6"
"2020-6-22","木耳","8.1"
"2020-6-22","平菇","7.3"
"2020-6-22","茭白","5.5"
"2020-6-22","莲藕","11.7"
"2020-6-22","芋头","5.1"
"2020-6-22","洋白菜","0.9"
"2020-6-22","山药","5.1"
"2020-6-22","大白菜","1.4"
"2020-6-23","小白菜","2.8"
"2020-6-23","洋白菜","0.9"
"2020-6-23","条形辣椒干（小米椒）","10.1"
"2020-6-23","蒜薹","6"
"2020-6-23","芹菜","4"
"2020-6-23","冬瓜","1.3"
"2020-6-23","大葱","3.2"
"2020-6-23","西兰花","10"
"2020-6-23","葱头","1.4"
"2020-6-23","莴笋","2.4"
"2020-6-23","胡萝卜","4"
"2020-6-23","菠菜","6.3"
"2020-6-23","木耳","8.2"
"2020-6-23","苦瓜","4"
"2020-6-23","茭白","5.3"
"2020-6-23","青椒","3.2"
"2020-6-23","大蒜","4.6"
"2020-6-23","油菜","2.9"
"2020-6-23","平菇","7.4"
"2020-6-23","西红柿","3"
"2020-6-23","生姜","12.9"
"2020-6-23","生菜","3.8"
"2020-6-23","大白菜","1.4"
"2020-6-23","豇豆","5.2"
"2020-6-23","南瓜","1.5"
"2020-6-28","西红柿","3.3"
"2020-6-28","茭白","4.7"
"2020-6-28","莴笋","3.8"
"2020-6-28","大葱","2.8"
"2020-6-28","菜花","5.1"
"2020-6-28","芹菜","4.1"
"2020-6-28","冬瓜","1.6"
"2020-6-28","西葫芦","2.8"
"2020-6-28","莲藕","9.2"
"2020-6-28","土豆","2"
"2020-6-28","小白菜","2.8"
"2020-6-28","豆角","4.4"
"2020-6-28","菠菜","6.4"
"2020-6-28","木耳","6.8"
"2020-6-28","平菇","10.8"
"2020-6-28","豇豆","5.4"
"2020-6-28","苦瓜","3"
"2020-6-28","蒜薹","5.7"
"2020-6-28","生菜","4.4"
"2020-6-28","南瓜","1.6"
"2020-6-28","洋白菜","1.3"
"2020-6-23","香菇","12.3"
"2020-6-23","山药","5.1"
"2020-6-23","韭菜","5.1"
"2020-6-23","黄瓜","2.1"
"2020-6-29","生菜","4.7"
"2020-6-29","西红柿","3.3"
"2020-6-29","西瓜","2.5"
"2020-6-29","丝瓜","3.7"
"2020-6-29","香菇","11.5"
"2020-6-29","菠菜","6.5"
"2020-6-28","丝瓜","4.3"
"2020-6-28","白萝卜","2.3"
"2020-6-28","红萝卜","3.3"
"2020-6-28","大白菜","1.6"
"2020-6-28","青椒","3.1"
"2020-6-28","胡萝卜","4.5"
"2020-6-28","茄子","2.2"
"2020-6-28","大蒜","4.3"
"2020-6-28","芋头","6.8"
"2020-6-28","韭菜","5.6"
"2020-6-28","生姜","14.3"
"2020-6-28","山药","4.5"
"2020-6-28","香菇","11.9"
"2020-6-28","黄瓜","2.2"
"2020-6-28","西兰花","9.1"
"2020-6-28","葱头","1"
"2020-6-28","油菜","4.3"
"2020-6-28","西瓜","2.4"
"2020-6-28","条形辣椒干（小米椒）","9.3"
"2020-6-30","冬瓜","1.5"
"2020-6-30","莴笋","4"
"2020-6-30","红萝卜","3.3"
"2020-6-30","木耳","6.8"
"2020-6-30","苦瓜","2.7"
"2020-6-30","南瓜","1.5"
"2020-6-30","大蒜","3.9"
"2020-6-30","白萝卜","2.1"
"2020-6-30","平菇","6.8"
"2020-6-30","青椒","3.6"
"2020-6-30","蒜薹","6.6"
"2020-6-30","生菜","4.8"
"2020-6-30","菜花","5"
"2020-6-30","芹菜","5.5"
"2020-6-30","豆角","4.5"
"2020-6-30","生姜","14.2"
"2020-6-29","芹菜","4.2"
"2020-6-29","山药","4.4"
"2020-6-29","红萝卜","3.3"
"2020-6-29","冬瓜","1.6"
"2020-6-29","葱头","1.1"
"2020-6-29","芋头","6.7"
"2020-6-29","西葫芦","2.8"
"2020-6-29","黄瓜","2.3"
"2020-6-29","茄子","2.1"
"2020-7-1","菠菜","6.3"
"2020-6-30","香菇","10"
"2020-6-30","西兰花","8.5"
"2020-6-30","西葫芦","3.3"
"2020-6-30","大白菜","2.4"
"2020-6-30","豇豆","4.8"
"2020-6-30","洋白菜","1.8"
"2020-6-30","黄瓜","2.7"
"2020-6-30","莲藕","9.7"
"2020-6-30","大葱","2.5"
"2020-6-30","丝瓜","4.5"
"2020-6-30","条形辣椒干（小米椒）","9.5"
"2020-6-30","茭白","5"
"2020-6-30","芋头","6.7"
"2020-6-30","土豆","2.5"
"2020-6-30","菠菜","6.2"
"2020-6-30","山药","4.2"
"2020-6-30","西红柿","2.6"
"2020-6-30","葱头","1.35"
"2020-6-30","小白菜","3.1"
"2020-6-30","油菜","4.2"
"2020-6-30","韭菜","4.8"
"2020-6-30","茄子","2.2"
"2020-6-30","胡萝卜","4"
"2020-6-30","西瓜","2"
"2020-7-1","蒜薹","6.5"
"2020-7-1","大蒜","4.2"
"2020-7-1","生姜","14.2"
"2020-7-1","油菜","4.2"
"2020-7-1","茄子","2.3"
"2020-7-1","韭菜","5.1"
"2020-7-1","丝瓜","4.5"
"2020-7-1","西红柿","2.7"
"2020-7-1","小白菜","3.2"
"2020-7-1","黄瓜","2.6"
"2020-7-1","菜花","5"
"2020-7-1","芹菜","5.7"
"2020-7-1","西瓜","1.7"
"2020-7-1","木耳","7"
"2020-7-1","大葱","2.6"
"2020-7-1","葱头","1.4"
"2020-7-1","芋头","6.6"
"2020-7-1","平菇","6.9"
"2020-7-1","豆角","4.5"
"2020-7-1","茭白","4.8"
"2020-7-1","豇豆","4.95"
"2020-7-1","苦瓜","2.8"
"2020-7-1","土豆","2.4"
"2020-7-1","胡萝卜","4"
"2020-7-1","南瓜","1.5"
"2020-7-2","芹菜","5.5"
"2020-7-2","芋头","6.7"
"2020-7-2","山药","4.1"
"2020-7-2","韭菜","5"
"2020-7-2","菠菜","6.3"
"2020-7-2","条形辣椒干（小米椒）","9.8"
"2020-7-2","莲藕","9.7"
"2020-7-2","大蒜","4.3"
"2020-7-2","大葱","2.7"
"2020-7-2","胡萝卜","4"
"2020-7-2","大白菜","2.3"
"2020-7-1","香菇","9.8"
"2020-7-1","红萝卜","3.2"
"2020-7-1","西葫芦","3.1"
"2020-7-1","莲藕","9.8"
"2020-7-1","西兰花","8.3"
"2020-7-1","洋白菜","1.6"
"2020-7-1","山药","4.4"
"2020-7-1","冬瓜","1.5"
"2020-7-1","生菜","4.8"
"2020-7-1","大白菜","2.3"
"2020-7-1","青椒","3.7"
"2020-7-1","条形辣椒干（小米椒）","9.7"
"2020-7-1","白萝卜","2.2"
"2020-7-1","莴笋","4"
"2020-7-2","红萝卜","3.2"
"2020-7-2","西红柿","2.8"
"2020-7-2","菜花","4.8"
"2020-7-2","油菜","4.2"
"2020-7-2","西瓜","1.5"
"2020-7-2","豇豆","4.5"
"2020-7-2","西葫芦","3.3"
"2020-7-2","豆角","4.3"
"2020-7-2","生姜","14.3"
"2020-7-2","蒜薹","6.8"
"2020-7-2","木耳","6.8"
"2020-7-2","丝瓜","4.8"
"2020-7-2","茄子","2.4"
"2020-7-2","苦瓜","3"
"2020-7-2","茭白","4.9"
"2020-7-2","莴笋","4"
"2020-7-2","土豆","2.4"
"2020-7-2","生菜","4.6"
"2020-7-2","洋白菜","1.6"
"2020-7-2","黄瓜","2.5"
"2020-7-2","青椒","3.9"
"2020-7-2","葱头","1.4"
"2020-7-2","小白菜","3.2"
"2020-7-2","平菇","7"
"2020-7-2","西兰花","8.2"
"2020-7-3","大葱","3.3"
"2020-7-3","油菜","3.9"
"2020-7-3","芹菜","5.1"
"2020-7-3","青椒","4.7"
"2020-7-3","条形辣椒干（小米椒）","9.6"
"2020-7-3","莲藕","10.1"
"2020-7-3","生菜","4.3"
"2020-7-3","洋白菜","1.4"
"2020-7-3","茭白","4.8"
"2020-7-3","白萝卜","2.2"
"2020-7-3","红萝卜","3"
"2020-7-3","香菇","10.5"
"2020-7-3","菜花","4.9"
"2020-7-3","生姜","13.5"
"2020-7-3","葱头","1.4"
"2020-7-3","土豆","2.7"
"2020-7-3","西瓜","2.4"
"2020-7-3","蒜薹","6.8"
"2020-7-3","大白菜","1.9"
"2020-7-3","豆角","5.1"
"2020-7-3","菠菜","6.1"
"2020-7-2","冬瓜","1.5"
"2020-7-2","南瓜","1.5"
"2020-7-2","白萝卜","2.1"
"2020-7-2","香菇","9.7"
"2020-7-6","葱头","4.1"
"2020-7-6","土豆","2.9"
"2020-7-6","木耳","7.2"
"2020-7-6","南瓜","1.4"
"2020-7-6","青椒","4.8"
"2020-7-6","生姜","14.1"
"2020-7-3","苦瓜","3.2"
"2020-7-3","韭菜","5.7"
"2020-7-3","茄子","2.8"
"2020-7-3","小白菜","3.3"
"2020-7-3","黄瓜","2.3"
"2020-7-3","西兰花","7.6"
"2020-7-3","木耳","7.1"
"2020-7-3","平菇","6.9"
"2020-7-3","豇豆","4.9"
"2020-7-3","西葫芦","2.9"
"2020-7-3","西红柿","3.1"
"2020-7-3","山药","4.6"
"2020-7-3","胡萝卜","3.9"
"2020-7-3","冬瓜","1.4"
"2020-7-3","南瓜","1.4"
"2020-7-3","芋头","6.1"
"2020-7-3","丝瓜","5.5"
"2020-7-3","莴笋","4.3"
"2020-7-3","大蒜","4.7"
"2020-7-6","西瓜","2.1"
"2020-7-6","西红柿","2.9"
"2020-7-6","白萝卜","2.4"
"2020-7-6","油菜","4.3"
"2020-7-6","苦瓜","3.5"
"2020-7-6","西兰花","7.8"
"2020-7-6","芹菜","5.3"
"2020-7-6","胡萝卜","4.2"
"2020-7-6","平菇","8.5"
"2020-7-6","豇豆","5"
"2020-7-6","丝瓜","5.5"
"2020-7-6","茭白","5.1"
"2020-7-6","莲藕","7"
"2020-7-6","芋头","5.9"
"2020-7-6","豆角","5.5"
"2020-7-6","西葫芦","3"
"2020-7-6","条形辣椒干（小米椒）","9.6"
"2020-7-6","红萝卜","3.3"
"2020-7-6","大白菜","1.8"
"2020-7-6","黄瓜","2.4"
"2020-7-6","大蒜","4.6"
"2020-7-6","大葱","3.4"
"2020-7-6","韭菜","5.7"
"2020-7-6","小白菜","3.6"
"2020-7-6","蒜薹","6.9"
"2020-7-7","西红柿","3"
"2020-7-7","大葱","3.5"
"2020-7-7","小白菜","3.3"
"2020-7-7","木耳","7.5"
"2020-7-7","青椒","4.6"
"2020-7-7","莴笋","3.8"
"2020-7-7","平菇","7.5"
"2020-7-7","丝瓜","5.3"
"2020-7-7","南瓜","1.4"
"2020-7-7","苦瓜","3.3"
"2020-7-7","西葫芦","2.9"
"2020-7-7","菜花","5.2"
"2020-7-7","芹菜","5.1"
"2020-7-7","芋头","5.8"
"2020-7-7","土豆","2.8"
"2020-7-7","菠菜","6.5"
"2020-7-6","莴笋","4.3"
"2020-7-6","生菜","4.4"
"2020-7-6","洋白菜","2.2"
"2020-7-6","冬瓜","1.6"
"2020-7-6","菜花","5.4"
"2020-7-6","山药","5"
"2020-7-6","茄子","3.1"
"2020-7-6","香菇","11.5"
"2020-7-6","菠菜","6.6"
"2020-7-9","白萝卜","2.7"
"2020-7-7","油菜","4.1"
"2020-7-7","西瓜","1.7"
"2020-7-7","豆角","5.7"
"2020-7-7","黄瓜","2.4"
"2020-7-7","生姜","14.2"
"2020-7-7","蒜薹","6.7"
"2020-7-7","莲藕","8.2"
"2020-7-7","茄子","3.2"
"2020-7-7","山药","5.2"
"2020-7-7","香菇","11.2"
"2020-7-7","条形辣椒干（小米椒）","9.7"
"2020-7-7","葱头","4.2"
"2020-7-7","白萝卜","2.2"
"2020-7-7","韭菜","5.9"
"2020-7-7","冬瓜","1.6"
"2020-7-7","大蒜","4.7"
"2020-7-7","豇豆","4.8"
"2020-7-7","西兰花","8"
"2020-7-7","茭白","5"
"2020-7-7","大白菜","1.9"
"2020-7-7","胡萝卜","4.1"
"2020-7-7","红萝卜","3.2"
"2020-7-7","生菜","4.2"
"2020-7-7","洋白菜","2"
"2020-7-9","苦瓜","3.2"
"2020-7-9","芋头","5.7"
"2020-7-9","生菜","4.2"
"2020-7-9","青椒","6"
"2020-7-9","菜花","6"
"2020-7-9","西瓜","1.5"
"2020-7-9","山药","5.1"
"2020-7-9","洋白菜","2.3"
"2020-7-9","木耳","6.4"
"2020-7-9","黄瓜","2.5"
"2020-7-9","生姜","14.1"
"2020-7-9","小白菜","3.6"
"2020-7-9","大白菜","2.2"
"2020-7-9","豆角","5.6"
"2020-7-9","南瓜","1.5"
"2020-7-9","莴笋","4.1"
"2020-7-9","芹菜","4.6"
"2020-7-9","西兰花","8.9"
"2020-7-9","茭白","5.3"
"2020-7-9","土豆","2.6"
"2020-7-9","莲藕","7.7"
"2020-7-9","冬瓜","1.7"
"2020-7-9","葱头","1.4"
"2020-7-9","红萝卜","3.1"
"2020-7-9","豇豆","4.6"
"2020-7-10","红萝卜","3.3"
"2020-7-10","小白菜","3.7"
"2020-7-10","豇豆","4.7"
"2020-7-10","芹菜","4.7"
"2020-7-10","山药","4.9"
"2020-7-10","西瓜","1.4"
"2020-7-10","西葫芦","2.9"
"2020-7-10","洋白菜","2.3"
"2020-7-10","大白菜","2.2"
"2020-7-10","南瓜","1.5"
"2020-7-10","西红柿","3.4"
"2020-7-9","菠菜","6.3"
"2020-7-9","胡萝卜","4.6"
"2020-7-9","茄子","2.3"
"2020-7-9","大蒜","4.3"
"2020-7-9","大葱","3.3"
"2020-7-9","油菜","3.6"
"2020-7-9","香菇","11.6"
"2020-7-9","条形辣椒干（小米椒）","9"
"2020-7-9","丝瓜","5.6"
"2020-7-9","西红柿","3.6"
"2020-7-9","蒜薹","6.5"
"2020-7-9","平菇","7.7"
"2020-7-9","西葫芦","3.1"
"2020-7-9","韭菜","6"
"2020-7-10","生姜","13.9"
"2020-7-10","白萝卜","2.6"
"2020-7-10","韭菜","6.1"
"2020-7-10","油菜","4"
"2020-7-10","菠菜","6.4"
"2020-7-10","生菜","4.3"
"2020-7-10","条形辣椒干（小米椒）","8.9"
"2020-7-10","西兰花","8.7"
"2020-7-10","青椒","5.4"
"2020-7-10","大蒜","4.5"
"2020-7-10","丝瓜","6"
"2020-7-10","苦瓜","3.4"
"2020-7-10","大葱","3.4"
"2020-7-10","莴笋","4"
"2020-7-10","芋头","5.7"
"2020-7-10","菜花","5.7"
"2020-7-10","茭白","5.2"
"2020-7-10","香菇","11.5"
"2020-7-10","平菇","8"
"2020-7-10","黄瓜","2.3"
"2020-7-10","木耳","6.7"
"2020-7-10","冬瓜","1.7"
"2020-7-10","葱头","1.3"
"2020-7-10","蒜薹","6.8"
"2020-7-10","土豆","2.8"
"2020-7-13","豆角","5.5"
"2020-7-13","生姜","14.1"
"2020-7-13","土豆","2.6"
"2020-7-13","豇豆","4.9"
"2020-7-13","西葫芦","3.3"
"2020-7-13","条形辣椒干（小米椒）","8.7"
"2020-7-13","茭白","5.3"
"2020-7-13","小白菜","3.3"
"2020-7-13","香菇","12.5"
"2020-7-13","青椒","5.3"
"2020-7-13","西兰花","9"
"2020-7-13","西红柿","3.3"
"2020-7-13","西瓜","2.3"
"2020-7-13","丝瓜","5.7"
"2020-7-13","莴笋","4.2"
"2020-7-13","芋头","5.5"
"2020-7-13","韭菜","6.2"
"2020-7-13","大蒜","4.5"
"2020-7-13","南瓜","1.5"
"2020-7-13","红萝卜","3.2"
"2020-7-13","生菜","4.1"
"2020-7-10","茄子","2.4"
"2020-7-10","胡萝卜","4.4"
"2020-7-10","豆角","5.4"
"2020-7-10","莲藕","7.8"
"2020-7-14","西兰花","9"
"2020-7-14","蒜薹","6.7"
"2020-7-14","生姜","13.9"
"2020-7-14","山药","4.7"
"2020-7-14","韭菜","6.3"
"2020-7-14","小白菜","3.3"
"2020-7-14","茄子","2.6"
"2020-7-14","菜花","5.3"
"2020-7-14","南瓜","1.5"
"2020-7-14","芹菜","4.5"
"2020-7-14","西瓜","2.1"
"2020-7-14","木耳","6.8"
"2020-7-14","青椒","5.6"
"2020-7-14","莲藕","8.1"
"2020-7-14","大蒜","4.6"
"2020-7-14","豆角","5.7"
"2020-7-14","条形辣椒干（小米椒）","8.5"
"2020-7-14","豇豆","5.2"
"2020-7-14","丝瓜","5.5"
"2020-7-14","西葫芦","3.3"
"2020-7-14","洋白菜","2.1"
"2020-7-14","大白菜","2.1"
"2020-7-14","葱头","1.4"
"2020-7-14","香菇","12.5"
"2020-7-14","黄瓜","2.6"
"2020-7-16","豆角","5.4"
"2020-7-16","西葫芦","2.8"
"2020-7-16","菜花","5.9"
"2020-7-16","茭白","5.3"
"2020-7-16","芹菜","4.7"
"2020-7-16","大蒜","5.3"
"2020-7-16","菠菜","6.6"
"2020-7-16","韭菜","6.3"
"2020-7-16","洋白菜","1.9"
"2020-7-16","豇豆","6.1"
"2020-7-16","南瓜","1.6"
"2020-7-16","葱头","1.4"
"2020-7-16","西红柿","3"
"2020-7-16","莲藕","8.9"
"2020-7-16","山药","4.7"
"2020-7-16","红萝卜","2.9"
"2020-7-14","土豆","2.7"
"2020-7-14","红萝卜","3.3"
"2020-7-14","冬瓜","1.6"
"2020-7-14","平菇","7.5"
"2020-7-14","苦瓜","3.5"
"2020-7-14","白萝卜","2.8"
"2020-7-14","茭白","5.2"
"2020-7-14","芋头","5.4"
"2020-7-14","生菜","4.2"
"2020-7-21","莴笋","2.3"
"2020-7-16","土豆","2.4"
"2020-7-16","香菇","11.8"
"2020-7-16","生菜","4.2"
"2020-7-16","芋头","5.8"
"2020-7-16","西瓜","2.2"
"2020-7-16","西兰花","9.9"
"2020-7-16","大白菜","2.1"
"2020-7-16","条形辣椒干（小米椒）","9"
"2020-7-16","大葱","3.4"
"2020-7-16","平菇","7.5"
"2020-7-16","苦瓜","4.1"
"2020-7-16","小白菜","3"
"2020-7-16","茄子","2.7"
"2020-7-16","青椒","6.2"
"2020-7-16","油菜","3.9"
"2020-7-16","胡萝卜","4.6"
"2020-7-16","白萝卜","2.4"
"2020-7-16","丝瓜","6"
"2020-7-16","冬瓜","1.4"
"2020-7-16","莴笋","4.2"
"2020-7-16","生姜","13.7"
"2020-7-16","黄瓜","2.2"
"2020-7-16","蒜薹","7.3"
"2020-7-16","木耳","7.7"
"2020-7-21","冬瓜","1.6"
"2020-7-21","芹菜","4.4"
"2020-7-21","白萝卜","1.5"
"2020-7-21","韭菜","7.3"
"2020-7-21","丝瓜","5.3"
"2020-7-21","西兰花","9.4"
"2020-7-21","土豆","2.1"
"2020-7-21","生姜","12.3"
"2020-7-21","油菜","4.3"
"2020-7-21","豆角","6.3"
"2020-7-21","葱头","1.5"
"2020-7-21","菠菜","8.4"
"2020-7-21","南瓜","1.6"
"2020-7-21","大葱","2.4"
"2020-7-21","香菇","11.5"
"2020-7-21","西红柿","2.7"
"2020-7-21","木耳","6.4"
"2020-7-21","黄瓜","2.8"
"2020-7-21","茄子","2.7"
"2020-7-21","蒜薹","5.4"
"2020-7-21","芋头","5.6"
"2020-7-21","胡萝卜","4.9"
"2020-7-21","生菜","4.8"
"2020-7-21","平菇","8.5"
"2020-7-21","茭白","7.2"
"2020-7-22","青椒","4.8"
"2020-7-22","莴笋","2.4"
"2020-7-22","菠菜","9.2"
"2020-7-22","西瓜","2.1"
"2020-7-22","木耳","6.5"
"2020-7-22","莲藕","8.3"
"2020-7-22","大蒜","4.9"
"2020-7-22","洋白菜","2"
"2020-7-22","西瓜","2.1"
"2020-7-22","茄子","2.9"
"2020-7-22","生菜","4.7"
"2020-7-21","西瓜","2.3"
"2020-7-21","苦瓜","3.1"
"2020-7-21","菜花","3.6"
"2020-7-21","大蒜","5.1"
"2020-7-21","豇豆","5.6"
"2020-7-21","条形辣椒干（小米椒）","8.3"
"2020-7-21","莲藕","8.4"
"2020-7-21","青椒","5.3"
"2020-7-21","红萝卜","2.8"
"2020-7-21","小白菜","3.4"
"2020-7-21","洋白菜","2"
"2020-7-21","西葫芦","2.6"
"2020-7-21","大白菜","1.7"
"2020-7-21","山药","4.4"
"2020-7-22","葱头","1.5"
"2020-7-22","芹菜","4.3"
"2020-7-22","土豆","2.2"
"2020-7-22","红萝卜","2.8"
"2020-7-22","小白菜","3.7"
"2020-7-22","西兰花","10.1"
"2020-7-22","大白菜","1.7"
"2020-7-22","大葱","2.6"
"2020-7-22","胡萝卜","4.8"
"2020-7-22","白萝卜","1.3"
"2020-7-22","油菜","4.8"
"2020-7-22","茭白","7.4"
"2020-7-22","平菇","8.5"
"2020-7-22","南瓜","1.6"
"2020-7-22","条形辣椒干（小米椒）","8.5"
"2020-7-22","丝瓜","4.8"
"2020-7-22","黄瓜","2.7"
"2020-7-22","蒜薹","5.2"
"2020-7-22","苦瓜","3"
"2020-7-22","豆角","6.2"
"2020-7-22","西葫芦","2.6"
"2020-7-22","生姜","12.5"
"2020-7-22","芋头","5.6"
"2020-7-22","豇豆","6"
"2020-7-22","韭菜","7.1"
"2020-7-23","生菜","4.6"
"2020-7-23","洋白菜","2.1"
"2020-7-23","香菇","11.9"
"2020-7-23","丝瓜","4.6"
"2020-7-23","茄子","2.9"
"2020-7-23","大白菜","1.8"
"2020-7-23","西葫芦","2.6"
"2020-7-23","苦瓜","2.8"
"2020-7-23","菜花","3.6"
"2020-7-23","茭白","7.3"
"2020-7-23","胡萝卜","4.9"
"2020-7-23","豆角","6"
"2020-7-23","西红柿","2.7"
"2020-7-23","芹菜","4.3"
"2020-7-23","葱头","1.5"
"2020-7-23","青椒","4.5"
"2020-7-23","土豆","2.2"
"2020-7-23","木耳","6.4"
"2020-7-23","大蒜","5.1"
"2020-7-23","韭菜","7.3"
"2020-7-22","西红柿","2.8"
"2020-7-22","菜花","3.5"
"2020-7-22","山药","4.5"
"2020-7-22","香菇","11.9"
"2020-7-22","冬瓜","1.6"
